t_sec,hand_X_cm,hand_Z_cm
0.038,5.122,60.100
0.080,5.114,60.000
0.119,5.122,60.100
0.160,6.010,60.100
0.197,5.122,60.100
0.235,5.122,60.100
0.272,5.131,60.200
0.309,5.131,60.200
0.347,5.131,60.200
0.381,5.131,60.200
0.414,5.131,60.200
0.450,4.826,60.100
0.486,5.131,60.200
0.525,5.122,60.100
0.557,5.131,60.200
0.591,5.122,60.100
0.626,5.122,60.100
0.661,5.148,60.400
0.693,5.131,60.200
0.726,5.131,60.200
0.758,5.131,60.200
0.790,5.122,60.100
0.825,5.131,60.200
0.856,5.122,60.100
0.890,5.122,60.100
0.924,5.148,60.400
0.959,5.122,60.100
0.993,5.131,60.200
1.027,5.114,60.000
1.062,5.122,60.100
1.096,5.122,60.100
1.132,5.131,60.200
1.166,5.131,60.200
1.200,5.139,60.300
1.234,5.139,60.300
1.269,5.139,60.300
1.308,5.148,60.400
1.343,5.122,60.100
1.382,5.131,60.200
1.421,5.131,60.200
1.467,5.454,60.500
1.508,5.742,60.400
1.548,6.040,60.400
1.589,6.020,60.200
1.631,6.623,60.300
1.668,6.810,60.200
1.710,6.295,60.000
1.750,6.284,59.900
1.787,6.798,60.100
1.834,7.094,60.100
1.875,7.995,60.200
1.919,7.995,60.200
1.963,8.616,60.400
2.015,9.112,60.400
2.065,9.987,60.300
2.104,10.284,60.300
2.150,10.545,60.100
2.197,10.760,60.200
2.242,11.278,59.800
2.278,11.630,60.100
2.322,11.886,59.900
2.371,11.846,59.700
2.416,12.413,59.600
2.459,12.609,59.600
2.495,12.924,59.700
2.531,12.881,59.500
2.570,12.881,59.500
2.608,13.173,59.500
2.650,13.129,59.300
2.691,13.444,59.400
2.731,13.466,59.500
2.766,13.398,59.200
2.805,13.444,59.400
2.844,13.398,59.200
2.885,13.398,59.200
2.926,13.690,59.200
2.971,13.644,59.000
3.013,13.597,58.800
3.050,13.620,58.900
3.089,13.934,59.000
3.132,13.644,59.000
3.168,13.597,58.800
3.203,13.644,59.000
3.239,13.690,59.200
3.279,13.644,59.000
3.321,13.644,59.000
3.360,13.644,59.000
3.399,13.644,59.000
3.436,13.620,58.900
3.477,13.667,59.100
3.513,13.644,59.000
3.548,13.644,59.000
3.589,13.574,58.700
3.628,13.644,59.000
3.667,13.667,59.100
3.704,13.620,58.900
3.746,13.644,59.000
3.783,13.644,59.000
3.822,13.597,58.800
3.865,13.690,59.200
3.902,13.644,59.000
3.936,13.934,59.000
3.978,13.644,59.000
4.016,13.620,58.900
4.056,13.958,59.100
4.098,13.667,59.100
4.138,13.981,59.200
4.178,13.958,59.100
4.215,13.667,59.100
4.259,13.597,58.800
4.305,13.644,59.000
4.348,13.667,59.100
4.389,13.934,59.000
4.434,13.887,58.800
4.475,13.597,58.800
4.513,13.620,58.900
4.549,13.574,58.700
4.585,13.644,59.000
4.622,13.644,59.000
4.662,13.376,59.100
4.701,13.285,58.700
4.738,13.240,58.500
4.778,12.952,58.500
4.814,12.863,58.100
4.854,12.292,58.100
4.893,12.080,58.000
4.932,11.450,57.700
4.967,11.146,57.600
5.003,10.863,57.600
5.047,10.260,57.400
5.093,10.037,57.200
5.136,9.407,56.800
5.185,8.832,56.700
5.238,8.216,56.300
5.275,7.699,55.900
5.313,7.411,55.800
5.349,7.072,55.300
5.384,6.788,55.200
5.420,5.490,54.900
5.458,5.480,54.800
5.497,6.800,55.300
5.527,,
5.555,,
5.589,,
5.626,,
5.674,1.041,53.100
5.710,,
5.753,-0.687,52.000
5.794,-1.112,51.900
5.837,-2.125,51.700
5.875,-2.787,51.400
5.915,-3.274,51.100
5.948,-3.755,50.800
5.983,-3.755,50.800
6.021,-4.387,50.400
6.060,-4.396,50.500
6.096,-4.653,50.600
6.131,-4.653,50.600
6.167,-4.663,50.700
6.202,-4.653,50.600
6.239,-4.893,50.500
6.282,-5.111,50.200
6.316,-5.121,50.300
6.359,-5.131,50.400
6.406,-5.358,50.200
6.445,-5.616,50.300
6.481,-5.379,50.400
6.524,-5.379,50.400
6.565,-5.379,50.400
6.607,-5.605,50.200
6.649,-5.369,50.300
6.687,-5.369,50.300
6.731,-5.605,50.200
6.768,-5.358,50.200
6.804,-5.369,50.300
6.842,-5.358,50.200
6.880,-5.347,50.100
6.920,-5.369,50.300
6.962,-5.379,50.400
7.001,-5.379,50.400
7.041,-5.358,50.200
7.081,-5.369,50.300
7.117,-5.369,50.300
